"3060006386","3060006386","PUB","CN","China","Jiangxi","Pingxiang","ChinaNet Jiangxi Province Network","chinatelecom.com.cn","ISP/MOB",,
"3230518667","3230518668","PUB","BR","Brazil","Bahia","Cachoeira","TT Peixoto Provedor de Internet Ltda ME","maxwave.com.br","ISP",,
"3087039519","3087039519","PUB","US","United States","Virginia","Harrisonburg","CenturyLink Communications LLC","centurylink.com","ISP",,
"994212419","994212419","PUB","CN","China","Beijing","Beijing","Zijing Campus 1st Phase Tsinghua University","tsinghua.edu.cn","EDU",,
"2098725900","2098725900","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"1465986946","1465986946","PUB","HU","Hungary","Pest","Godollo","DIGI Tavkozlesi es Szolgaltato Kft.","digikabel.hu","ISP",,
"3036287836","3036287836","PUB","ID","Indonesia","Jakarta Raya","Jakarta","PT Telkom Indonesia","telkom.co.id","ISP/MOB",,
"2098928835","2098928835","PUB","TH","Thailand","Ratchaburi","Suan Phueng","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"3311566767","3311566767","PUB","ZA","South Africa","Gauteng","Johannesburg","Internet Solutions","is.co.za","DCH",,
"759677847","759677847","PUB","BR","Brazil","Rio de Janeiro","Rio das Ostras","T. Teles Leite Telecomunicacoes Ltda ME","alternativaip.net.br","ISP",,
"609924064","609924064","PUB","ID","Indonesia","Jawa Timur","Surabaya","PT Telekomunikasi Indonesia","telkom.co.id","ISP/MOB",,
"2098927072","2098927072","PUB","TH","Thailand","Rayong","Nikhom Phattana","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"3087365227","3087365227","PUB","US","United States","Texas","Rosenberg","CenturyLink Communications LLC","centurylink.com","ISP",,
"1357424597","1357424597","PUB","LV","Latvia","Riga","Riga","SIA Tet","tet.lv","ISP",,
"2328200834","2328200834","PUB","CA","Canada","Ontario","Toronto","DigitalOcean LLC","digitalocean.com","DCH",,
